Name,PACE,SHOOTING,DRIBBLING,DEFENDING,PASSING,PHYSICALITY
Denis Zakaria,83,75,64,80,72,84
Denzel Dumfries,80,72,61,78,66,19
depay,82,84,83,30,82,79
deulofeu,88,83,73,30,73,64
diallo,74,76,39,78,71,77
Diego Carlos,76,68,47,81,63,83
digne,79,80,69,80,80,76
Donyell Malen,90,83,79,30,72,17
draxler,74,82,76,58,80,66
Dries Mertens,85,88,82,34,79,50
Eden Hazard,84,88,80,35,82,63
Eder Militao,83,71,50,83,69,82
ekambi,85,77,78,25,71,70
elvedi,74,68,39,80,63,77
Emre Can,78,80,78,84,78,87
Erling Haaland,89,80,91,45,65,88
everton,86,85,75,32,73,62
fabian,63,82,78,74,79,71
fabinho,67,78,69,85,78,83
falcao,86,76,79,41,67,69
Fekir,83,87,83,38,92,79
Felipe Anderson,85,82,74,55,76,59
Fikayo Tomori,82,65,37,80,57,79
Filip Kostic,88,83,77,68,82,80
foden,84,87,78,56,80,57
fofana,76,78,71,72,72,79
Frank Kessie,78,80,74,82,74,87
fred,77,81,66,75,77,71
gaya,83,80,61,79,77,73
gedson fernandes,79,80,70,71,75,75
gerson,74,80,64,78,79,77
Giovanni Di Lorenzo,84,76,66,76,77,79
gnabry,83,86,84,43,79,69
golovin,81,83,72,67,79,69
gomez,87,87,78,39,84,55
gonzalo martinez,87,82,72,34,73,62
Gosens,82,79,75,77,78,81
gravenverch,77,82,74,68,77,71
Grealish,80,88,76,46,83,64
greenwood,84,79,78,39,73,68
grimaldo,87,83,65,74,81,71
guedes,80,82,79,36,76,68
guendouzi,74,75,63,72,75,76
Guerreiro,75,88,77,76,85,58
gueye,69,78,62,83,71,77
guimaraes,68,78,63,73,73,75
gunter,83,70,55,74,70,81
Hakimi,95,83,71,76,78,78
hamari traore,85,76,54,73,72,77
hamsik,70,81,76,70,81,71
Hans Hateboer,84,77,64,77,73,79
haps,87,76,63,68,67,72
Harry Kane,70,83,91,47,83,83
Harry Maguire,50,70,95,85,69,19
Hassane Kamara,88,76,61,71,69,76
Haverts,82,84,78,45,79,66
henderson,46,79,74,78,83,81
Henrikh Mkhitaryan,85,83,88,56,79,74
Hirving Lozano,93,82,76,41,72,62
icardi,69,77,83,36,65,69
ikone,89,83,70,35,78,60
immobile,86,81,87,39,67,77
ismaily,82,81,64,75,74,75
Iven Perisic,81,79,79,64,78,74
james,80,77,58,76,77,80
Jesus Corona,83,85,67,74,79,60
Jesus Navas,87,83,69,79,81,58
Joaquin Correa,84,85,75,39,77,69
Jordan Veretout,76,80,75,78,80,79
jordi alba,86,83,69,77,81,71
jorge sanchez,92,72,45,72,61,77
Jorginho,55,81,67,73,86,73
Joshua Kimmich,70,84,73,83,86,79
Josip Ilicic,70,86,86,40,84,67
jota,84,85,81,57,73,77
Jules Kounde,81,72,45,84,64,78
Kalidou Koulibaly,81,65,28,87,51,85
Kamara,74,73,50,79,72,78
Karim Benzema,76,87,86,39,81,77
Kevin De Bruyne,70,88,86,64,93,78
Kingsley Coman,93,88,76,30,79,60
klossterman,85,71,51,82,66,77
kluivert,89,81,72,37,67,58
Konate,71,67,34,80,57,76
Konrad Laimer,81,78,68,80,77,77
Kostas Manolas,81,62,25,85,44,81
kouyate,64,69,64,78,62,85
kulusevski,84,84,74,56,77,76
Labyad,72,78,75,36,76,58
lacroix,88,65,33,80,56,77
Lautaro,84,95,81,48,72,84
lemar,82,86,76,59,82,63
Leon Goretzka,81,84,82,81,82,86
Leonardo Spinazzola,92,80,64,78,73,71
Lio Messi,85,95,92,34,91,65
llorente,88,82,80,78,81,82
lodi,84,81,67,77,76,75
Lorenzo Insigne,87,90,78,36,85,45
Lucas Hernandez,77,71,4,84,68,79
lucas moura,90,86,79,43,70,68
Lucas Torreira,74,79,87,79,74,75
lucas vazques,82,80,73,69,79,69
Luis Alberto,63,85,76,57,87,59
luis milla,72,74,70,74,76,75
Luis Muriel,89,86,83,27,75,67
luiz felipe,73,68,29,80,61,72
Luka Modric,73,88,76,72,89,66
Maehle,89,72,56,66,68,78
Mahrez,81,90,79,38,81,60
Malen,90,83,79,30,72,17
Mane,91,89,83,44,80,77
Manuel Lazzari,92,82,62,70,77,65
Maouassa,84,75,64,72,71,76
Marcel Sabitzer,78,80,84,67,81,78
Marcelo Brozovix,69,79,74,79,80,78
marcelo,73,87,72,75,80,71
Marco Asensio,82,83,80,43,81,62
Marco Reus,73,85,84,47,84,63
Marcos Acuna,76,87,74,79,82,82
marega,87,65,77,39,61,89
Mario fernandes,82,78,61,79,74,79
Mario hermoso,75,71,49,83,72,80
martial,87,85,80,35,73,68
martinez,71,76,58,79,73,80
marusic,86,74,66,75,67,79
Matthias Ginter,62,66,58,86,72,79
matuidi,73,76,45,77,72,79
Maximilian Arnold,65,78,81,76,79,74
mbabu,88,73,51,74,69,80
mckennie,81,76,71,76,74,83
Mikel Merino,74,82,78,82,81,81
Mikel Oyarzabal,82,84,82,41,81,63
Milan Skriniar,80,69,41,87,63,84
mollet,74,80,75,51,78,63
montiel,86,74,53,73,70,81
mukiele,80,73,49,82,69,80
Nani,70,85,77,37,81,68
Nemanja Matic,36,73,67,80,75,73
Ngolo Kante,78,82,66,87,75,83
Nicolo Barella,78,86,71,75,79,78
nididi,67,74,62,87,69,83
nuno mendes,85,74,57,74,68,72
nwakaeme,80,80,76,39,74,80
Ocampos,81,83,84,63,78,84
odegaard,77,84,74,58,83,62
orsic,90,77,82,56,71,62
oxlade-chamberlain,81,82,74,67,77,74
paco alcacer,77,81,84,35,69,61
paredes,66,79,71,76,83,79
partey,69,81,71,80,82,84
Paulo Dybala,84,90,86,8,80,6
Pearson,70,70,49,72,63,84
pedri,78,84,65,66,79,63
pereira,83,82,67,80,78,75
Philippe Coutinho,69,88,79,52,80,59
pinedad,86,79,73,62,72,66
Piotr Zielinski,81,85,75,70,81,61
pique,58,68,61,85,71,78
pizzi,75,82,77,64,81,66
podence,90,85,65,33,71,50
Pogba,71,86,81,65,86,83
portu,90,80,79,59,78,79
promes,88,81,78,46,78,69
Puado,83,80,76,45,68,73
quintero,73,83,76,39,81,51
Radja Nainggolan,71,74,84,73,78,80
rafinha,71,84,75,69,80,68
rashford,90,84,84,43,79,77
rebic,86,81,83,48,75,80
reguilon,86,78,58,78,75,70
Renato Sanchez,84,84,74,72,77,86
Ribery,69,84,73,30,80,53
Ring,72,74,65,71,69,77
robertone,85,79,72,68,75,72
Robin Gosens,82,79,75,77,78,81
rodrigo,86,79,78,45,75,71
rodriguez,84,76,64,70,73,79
rodrygo,87,83,76,32,71,56
Romelu Lukaku,84,78,87,39,74,83
Romero,76,61,46,83,52,84
roussillon,88,78,65,73,72,73
saint-maximin,91,87,69,25,70,61
Saka,84,92,68,65,76,64
sanchez,75,65,45,80,58,80
Sane,90,85,81,38,79,68
sarr,94,80,70,22,67,67
Saul niguez,71,79,78,78,78,79
Savic,64,58,35,87,57,76
shaw,79,80,54,81,79,80
Simon Kjaer,67,59,55,85,64,78
simon,92,79,70,34,66,65
sissoko,74,75,61,75,73,87
soler,78,79,77,71,82,71
son,88,86,87,43,82,69
soriano,69,79,75,67,78,71
sow,79,76,64,75,77,79
Spinazzola,92,80,64,78,73,71
Stanciu,72,80,75,59,80,68
Stephan El Shaarawy,87,79,75,46,74,16
sterling,91,87,82,45,79,66
Suso,76,85,76,32,82,55
svensson,79,75,60,74,73,82
szobozlai,79,79,78,34,79,64
Theo Hernandez,93,81,71,77,76,82
thiago mendes,72,77,67,74,76,75
Thomas Delaney,75,74,71,83,74,82
Thorgan Hazard,80,85,7,52,80,66
Tielemans,43,80,79,71,86,72
timber,83,75,44,75,64,79
tomoti,82,65,37,80,57,79
tonali,78,76,65,72,77,76
Toni Kroos,83,81,81,71,91,17
Trejo,71,78,72,69,75,77
trippier,73,77,63,80,82,72
uribe,75,76,74,75,75,81
van de beek,68,79,78,72,76,77
van dijk,78,72,60,91,71,84
verissimo,81,59,39,80,57,79
verrati,64,91,61,79,87,67
Victor Osimhen,88,75,80,39,63,81
vida,73,60,40,80,58,81
viera,82,82,75,63,80,69
Vinicius junior,95,87,70,29,71,66
visca,87,82,78,47,78,64
vlasic,83,82,77,48,78,71
Werner,91,82,81,35,70,70
wijnal,84,78,53,74,74,74
wijnaldum,77,86,75,79,80,79
wirtz,72,83,68,51,76,59
youssoue fofana,71,77,67,74,74,78
Zaniolo,83,80,74,61,71,82
zinchenko,73,80,65,77,80,69
ziyech,78,83,76,50,87,65
Zobnin,76,77,64,76,74,72
