Name,PACE,DRIBBLING,SHOOTING,DEFENDING,PASSING,PHYSICALITY,Position
promes,88,81,78,46,78,69,Delantero
cabral,88,80,76,38,73,69,Delantero
Lio Messi,85,95,92,34,91,65,Delantero
delort,84,75,82,37,73,85,Delantero
Paulo Dybala,84,90,86,40,86,60,Delantero
gnabry,83,86,84,43,79,69,Delantero
Stanciu,72,80,75,59,80,68,Delantero
carillo,87,82,75,38,73,70,Delantero
saint-maximin,91,87,69,25,70,61,Delantero
Antoine Griezmann,80,87,84,52,84,72,Delantero
Christian Pulisic,89,86,70,37,73,59,Delantero
Vinicius junior,95,87,70,29,71,66,Delantero
depay,82,84,83,30,82,79,Delantero
ansu fati,88,79,74,29,68,53,Delantero
gerson,74,80,64,78,79,77,Medio
Toni Kroos,83,81,81,71,91,68,Medio
Filip Kostic,88,83,77,68,82,80,Medio
soriano,69,79,75,67,78,71,Medio
nwakaeme,80,80,76,39,74,80,Medio
Robin Gosens,82,79,75,77,78,81,Medio
Hans Hateboer,84,77,64,77,73,79,Medio
Radja Nainggolan,71,74,84,73,78,80,Medio
camavinga,72,80,65,75,76,77,Medio
Marco Asensio,82,83,80,43,81,62,Medio
draxler,74,82,76,58,80,66,Medio
marcelo,73,87,72,75,80,71,Medio
Frank Kessie,78,80,74,82,74,87,Medio
Jorginho,55,81,67,73,86,73,Medio
bruno,75,84,86,70,89,77,Medio
brahim diaz,78,82,69,30,76,50,Medio
gravenverch,77,82,74,68,77,71,Medio
ismaily,82,81,64,75,74,75,Medio
oxlade-chamberlain,81,82,74,67,77,74,Medio
marusic,86,74,66,75,67,79,Medio
Kevin De Bruyne,70,88,86,64,93,78,Medio
wijnaldum,77,86,75,79,80,79,Medio
kluivert,89,81,72,37,67,58,Medio
uribe,75,76,74,75,75,81,Medio
matuidi,73,76,45,77,72,79,Medio
brandt,73,84,75,48,80,66,Medio
wirtz,72,83,68,51,76,59,Medio
Arturo Vidal,65,79,79,82,79,82,Medio
Hakimi,95,83,71,76,78,78,Medio
Konrad Laimer,81,78,68,80,77,77,Medio
Nicolo Barella,78,86,71,75,79,78,Medio
martinez,71,76,58,79,73,80,Medio
Kamara,74,73,50,79,72,78,Medio
Jordan Veretout,76,80,75,78,80,79,Medio
llorente,88,82,80,78,81,82,Medio
digne,79,80,69,80,80,76,Medio
dani alves,71,78,71,72,78,63,Medio
vlasic,83,82,77,48,78,71,Medio
partey,69,81,71,80,82,84,Medio
fred,77,81,66,75,77,71,Medio
luis milla,72,74,70,74,76,75,Medio
Mahrez,81,90,79,38,81,60,Medio
thiago mendes,72,77,67,74,76,75,Medio
Jesus Corona,83,85,67,74,79,60,Medio
paredes,66,79,71,76,83,79,Medio
Saul niguez,71,79,78,78,78,79,Medio
mckennie,81,76,71,76,74,83,Medio
claude-maurice,87,80,73,68,75,68,Medio
szobozlai,79,79,78,34,79,64,Medio
sissoko,74,75,61,75,73,87,Medio
Allan,72,82,71,80,77,79,Medio
Alaba,77,80,70,83,81,76,Medio
pizzi,75,82,77,64,81,66,Medio
zinchenko,73,80,65,77,80,69,Medio
Renato Sanchez,84,84,74,72,77,86,Medio
Adrien Rabiot,76,80,74,76,76,79,Medio
sow,79,76,64,75,77,79,Medio
fabian,63,82,78,74,79,71,Medio
odegaard,77,84,74,58,83,62,Medio
visca,87,82,78,47,78,64,Medio
aranguiz,65,77,71,76,80,72,Medio
barkley,69,78,73,57,77,72,Medio
Ocampos,81,83,84,63,78,84,Medio
Labyad,72,78,75,36,76,58,Medio
Marcos Acuna,76,87,74,79,82,82,Medio
Philippe Coutinho,69,88,79,52,80,59,Medio
jordi alba,86,83,69,77,81,71,Medio
pedri,78,84,65,66,79,63,Medio
Grealish,80,88,76,46,83,64,Medio
verrati,64,91,61,79,87,67,Medio
gedson fernandes,79,80,70,71,75,75,Medio
Piotr Zielinski,81,85,75,70,81,61,Medio
lemar,82,86,76,59,82,63,Medio
Aurier,75,76,63,77,73,78,Medio
bellingham,75,80,69,75,73,77,Medio
Ngolo Kante,78,82,66,87,75,83,Medio
van de beek,68,79,78,72,76,77,Medio
golovin,81,83,72,67,79,69,Medio
Emre Can,78,80,78,84,78,87,Medio
mollet,74,80,75,51,78,63,Medio
Zobnin,76,77,64,76,74,72,Medio
Joshua Kimmich,70,84,73,83,86,79,Medio
youssoue fofana,71,77,67,74,74,78,Medio
Tielemans,43,80,79,71,86,72,Medio
Guerreiro,75,88,77,76,85,58,Medio
guendouzi,74,75,63,72,75,76,Medio
Iven Perisic,81,79,79,64,78,74,Medio
lucas vazques,82,80,73,69,79,69,Medio
