Name,PACE,DRIBBLING,SHOOTING,DEFENDING,PASSING,PHYSICALITY,Position
Erling Haaland,89,80,91,45,65,88,Delantero
everton,86,85,75,32,73,62,Delantero
fabian,63,82,78,74,79,71,medio
fabinho,67,78,69,85,78,83,Defensa
falcao,86,76,79,41,67,69,Delantero
Fekir,83,87,83,38,92,79,medio
Felipe Anderson,85,82,74,55,76,59,Delantero
Fikayo Tomori,82,65,37,80,57,79,Defensa
Filip Kostic,88,83,77,68,82,80,medio
foden,84,87,78,56,80,57,Delantero
fofana,76,78,71,72,72,79,Medio
Frank Kessie,78,80,74,82,74,87,Medio
fred,77,81,66,75,77,71,Medio
gaya,83,80,61,79,77,73,Medio
gedson fernandes,79,80,70,71,75,75,Medio
gerson,74,80,64,78,79,77,medio
Giovanni Di Lorenzo,84,76,66,76,77,79,Defensa
gnabry,83,86,84,43,79,69,Delantero
golovin,81,83,72,67,79,69,medio
gomez,87,87,78,39,84,55,Delantero
gonzalo martinez,87,82,72,34,73,62,Delantero
Gosens,82,79,75,77,78,81,medio
gravenverch,77,82,74,68,77,71,medio
Grealish,80,88,76,46,83,64,medio
greenwood,84,79,78,39,73,68,Delantero
grimaldo,87,83,65,74,81,71,Defensa
guedes,80,82,79,36,76,68,medio
guendouzi,74,75,63,72,75,76,medio
Guerreiro,75,88,77,76,85,58,medio
gueye,69,78,62,83,71,77,Defensa
guimaraes,68,78,63,73,73,75,Defensa
gunter,83,70,55,74,70,81,Defensa
Hakimi,95,83,71,76,78,78,medio
hamari traore,85,76,54,73,72,77,Defensa
hamsik,70,81,76,70,81,71,medio
Hans Hateboer,84,77,64,77,73,79,medio
haps,87,76,63,68,67,72,Defensa
Harry Kane,70,83,91,47,83,83,Delantero
Harry Maguire,50,70,95,85,69,19,Defensa
Hassane Kamara,88,76,61,71,69,76,Defensa
Haverts,82,84,78,45,79,66,Delantero
henderson,46,79,74,78,83,81,medio
Henrikh Mkhitaryan,85,83,88,56,79,74,Delantero
Hirving Lozano,93,82,76,41,72,62,Delantero
icardi,69,77,83,36,65,69,Delantero
ikone,89,83,70,35,78,60,medio
immobile,86,81,87,39,67,77,Delantero
ismaily,82,81,64,75,74,75,medio
Iven Perisic,81,79,79,64,78,74,medio
james,80,77,58,76,77,80,Defensa
Jesus Corona,83,85,67,74,79,60,medio
Jesus Navas,87,83,69,79,81,58,medio
Joaquin Correa,84,85,75,39,77,69,Delantero
Jordan Veretout,76,80,75,78,80,79,medio
jordi alba,86,83,69,77,81,71,medio
jorge sanchez,92,72,45,72,61,77,Defensa
Jorginho,55,81,67,73,86,73,medio
Joshua Kimmich,70,84,73,83,86,79,medio
Josip Ilicic,70,86,86,40,84,67,Delantero
jota,84,85,81,57,73,77,Delantero
Jules Kounde,81,72,45,84,64,78,Defensa
Kalidou Koulibaly,81,65,28,87,51,85,Defensa
Kamara,74,73,50,79,72,78,Medio
Karim Benzema,76,87,86,39,81,77,Delantero
Kevin De Bruyne,70,88,86,64,93,78,Medio
Kingsley Coman,93,88,76,30,79,60,medio
klossterman,85,71,51,82,66,77,Defensa
kluivert,89,81,72,37,67,58,medio
Konate,71,67,34,80,57,76,Defensa
Konrad Laimer,81,78,68,80,77,77,medio
Kostas Manolas,81,62,25,85,44,81,Defensa
kouyate,64,69,64,78,62,85,Defensa
kulusevski,84,84,74,56,77,76,medio
Labyad,72,78,75,36,76,58,medio
lacroix,88,65,33,80,56,77,Defensa
Lautaro,84,95,81,48,72,84,Delantero
lemar,82,86,76,59,82,63,medio
Leon Goretzka,81,84,82,81,82,86,medio
Leonardo Spinazzola,92,80,64,78,73,71,Defensa
Lio Messi,85,95,92,34,91,65,Delantero
llorente,88,82,80,78,81,82,medio
lodi,84,81,67,77,76,75,Defensa
Lorenzo Insigne,87,90,78,36,85,45,Delantero
Lucas Hernandez,77,71,54,84,68,79,Defensa
lucas moura,90,86,79,43,70,68,Delantero
Lucas Torreira,74,79,87,79,74,75,medio
lucas vazques,82,80,73,69,79,69,medio
Luis Alberto,63,85,76,57,87,59,medio
luis milla,72,74,70,74,76,75,medio
Luis Muriel,89,86,83,27,75,67,Delantero
luiz felipe,73,68,29,80,61,72,Defensa
Luka Modric,73,88,76,72,89,66,medio
Maehle,89,72,56,66,68,78,Defensa
Mahrez,81,90,79,38,81,60,medio
Malen,90,83,79,30,72,17,Delantero
Mane,91,89,83,44,80,77,Delantero
Manuel Lazzari,92,82,62,70,77,65,Defensa
Maouassa,84,75,64,72,71,76,Defensa
Marcel Sabitzer,78,80,84,67,81,78,medio
Marcelo Brozovix,69,79,74,79,80,78,Defensa
marcelo,73,87,72,75,80,71,medio
Marco Asensio,82,83,80,43,81,62,medio
Marco Reus,73,85,84,47,84,63,Delantero
Marcos Acuna,76,87,74,79,82,82,medio
marega,87,65,77,39,61,89,Delantero
Mario fernandes,82,78,61,79,74,79,Defensa
Mario hermoso,75,71,49,83,72,80,Defensa
martial,87,85,80,35,73,68,Delantero
martinez,71,76,58,79,73,80,Medio
marusic,86,74,66,75,67,79,Medio
Matthias Ginter,62,66,58,86,72,79,Defensa
matuidi,73,76,45,77,72,79,Medio
Maximilian Arnold,65,78,81,76,79,74,Medio
mbabu,88,73,51,74,69,80,Defensa
mckennie,81,76,71,76,74,83,Medio
Mikel Merino,74,82,78,82,81,81,medio
Mikel Oyarzabal,82,84,82,41,81,63,Delantero
Milan Skriniar,80,69,41,87,63,84,Defensa
mollet,74,80,75,51,78,63,medio
montiel,86,74,53,73,70,81,Defensa
mukiele,80,73,49,82,69,80,Defensa
Nani,70,85,77,37,81,68,Delantero
Nemanja Matic,36,73,67,80,75,73,Defensa
Ngolo Kante,78,82,66,87,75,83,medio
Nicolo Barella,78,86,71,75,79,78,medio
nididi,67,74,62,87,69,83,Defensa
nuno mendes,85,74,57,74,68,72,Defensa
nwakaeme,80,80,76,39,74,80,medio
Ocampos,81,83,84,63,78,84,medio
odegaard,77,84,74,58,83,62,medio
orsic,90,77,82,56,71,62,Delantero
oxlade-chamberlain,81,82,74,67,77,74,medio
paco alcacer,77,81,84,35,69,61,Delantero
paredes,66,79,71,76,83,79,medio
partey,69,81,71,80,82,84,medio
Paulo Dybala,84,90,86,40,86,60,Delantero
Pearson,70,70,49,72,63,84,Defensa
pedri,78,84,65,66,79,63,medio
pereira,83,82,67,80,78,75,Defensa
Philippe Coutinho,69,88,79,52,80,59,medio
pinedad,86,79,73,62,72,66,medio
Piotr Zielinski,81,85,75,70,81,61,medio
pique,58,68,61,85,71,78,Defensa
pizzi,75,82,77,64,81,66,medio
podence,90,85,65,33,71,50,Delantero
Pogba,71,86,81,65,86,83,medio
portu,90,80,79,59,78,79,Delantero
promes,88,81,78,46,78,69,Delantero
Puado,83,80,76,45,68,73,Delantero
quintero,73,83,76,39,81,51,medio
Radja Nainggolan,71,74,84,73,78,80,medio
rafinha,71,84,75,69,80,68,medio
rashford,90,84,84,43,79,77,Delantero
rebic,86,81,83,48,75,80,Delantero
reguilon,86,78,58,78,75,70,Defensa
Renato Sanchez,84,84,74,72,77,86,Medio
Ribery,69,84,73,30,80,53,Delantero
Ring,72,74,65,71,69,77,Medio
robertone,85,79,72,68,75,72,Medio
Robin Gosens,82,79,75,77,78,81,Medio
rodrigo,86,79,78,45,75,71,Delantero
rodriguez,84,76,64,70,73,79,Defensa
rodrygo,87,83,76,32,71,56,Delantero
Romelu Lukaku,84,78,87,39,74,83,Delantero
Romero,76,61,46,83,52,84,Defensa
roussillon,88,78,65,73,72,73,Defensa
saint-maximin,91,87,69,25,70,61,Delantero
Saka,84,92,68,65,76,64,medio
sanchez,75,65,45,80,58,80,Defensa
Sane,90,85,81,38,79,68,Delantero
sarr,94,80,70,22,67,67,Delantero
Saul niguez,71,79,78,78,78,79,medio
Savic,64,58,35,87,57,76,Defensa
shaw,79,80,54,81,79,80,Defensa
Simon Kjaer,67,59,55,85,64,78,Defensa
simon,92,79,70,34,66,65,Delantero
sissoko,74,75,61,75,73,87,medio
soler,78,79,77,71,82,71,medio
son,88,86,87,43,82,69,Delantero
soriano,69,79,75,67,78,71,medio
sow,79,76,64,75,77,79,medio
Spinazzola,92,80,64,78,73,71,Defensa
Stanciu,72,80,75,59,80,68,Delantero
Stephan El Shaarawy,87,79,75,46,74,16,Delantero
sterling,91,87,82,45,79,66,Delantero
Suso,76,85,76,32,82,55,Delantero
svensson,79,75,60,74,73,82,Defensa
szobozlai,79,79,78,34,79,64,medio
Theo Hernandez,93,81,71,77,76,82,Defensa
thiago mendes,72,77,67,74,76,75,medio
Thomas Delaney,75,74,71,83,74,82,medio
Thorgan Hazard,80,85,76,52,80,66,Delantero
Tielemans,43,80,79,71,86,72,medio
timber,83,75,44,75,64,79,Defensa
tomoti,82,65,37,80,57,79,Defensa
tonali,78,76,65,72,77,76,medio
Toni Kroos,83,81,81,71,91,68,medio
Trejo,71,78,72,69,75,77,medio
trippier,73,77,63,80,82,72,Defensa
uribe,75,76,74,75,75,81,medio
van de beek,68,79,78,72,76,77,medio
van dijk,78,72,60,91,71,84,Defensa
verissimo,81,59,39,80,57,79,Defensa
verrati,64,91,61,79,87,67,medio
Victor Osimhen,88,75,80,39,63,81,Delantero
vida,73,60,40,80,58,81,Defensa
viera,82,82,75,63,80,69,medio
Vinicius junior,95,87,70,29,71,66,Delantero
visca,87,82,78,47,78,64,medio
vlasic,83,82,77,48,78,71,medio
Werner,91,82,81,35,70,70,Delantero
wijnal,84,78,53,74,74,74,Defensa
wijnaldum,77,86,75,79,80,79,medio
wirtz,72,83,68,51,76,59,medio
youssoue fofana,71,77,67,74,74,78,medio
Zaniolo,83,80,74,61,71,82,medio
zinchenko,73,80,65,77,80,69,medio
ziyech,78,83,76,50,87,65,Delantero
Zobnin,76,77,64,76,74,72,medio
